Date (HE),Price ($)
01/01/2022 01,65.64
01/01/2022 02,61.59
01/01/2022 03,56.67
01/01/2022 04,45.58
01/01/2022 05,57.39
01/01/2022 06,58.11
01/01/2022 07,53.37
01/01/2022 08,41.23
01/01/2022 09,40.92
01/01/2022 10,39.58
01/01/2022 11,41.14
01/01/2022 12,51.16
01/01/2022 13,50.88
01/01/2022 14,54.35
01/01/2022 15,52.48
01/01/2022 16,53.93
01/01/2022 17,62.89
01/01/2022 18,83.49
01/01/2022 19,69.75
01/01/2022 20,66.28
01/01/2022 21,55.82
01/01/2022 22,47.65
01/01/2022 23,46.66
01/01/2022 24,55.65
01/02/2022 01,48.74
01/02/2022 02,32.45
01/02/2022 03,33.48
01/02/2022 04,38.35
01/02/2022 05,36.12
01/02/2022 06,40.34
01/02/2022 07,46.45
01/02/2022 08,46.29
01/02/2022 09,48.44
01/02/2022 10,42.75
01/02/2022 11,38.62
01/02/2022 12,47.67
01/02/2022 13,48.09
01/02/2022 14,49.11
01/02/2022 15,51.94
01/02/2022 16,49.52
01/02/2022 17,59.43
01/02/2022 18,70.95
01/02/2022 19,151.42
01/02/2022 20,96.94
01/02/2022 21,107.75
01/02/2022 22,77.41
01/02/2022 23,100.08
01/02/2022 24,90.69
01/03/2022 01,70.43
01/03/2022 02,70.25
01/03/2022 03,67.91
01/03/2022 04,68.25
01/03/2022 05,70.66
01/03/2022 06,71.98
01/03/2022 07,74.25
01/03/2022 08,64.38
01/03/2022 09,79.04
01/03/2022 10,170.74
01/03/2022 11,218.04
01/03/2022 12,148.77
01/03/2022 13,176.62
01/03/2022 14,186.47
01/03/2022 15,176.13
01/03/2022 16,131.95
01/03/2022 17,117.08
01/03/2022 18,140.51
01/03/2022 19,74.05
01/03/2022 20,70.21
01/03/2022 21,73.11
01/03/2022 22,74.21
01/03/2022 23,68.47
01/03/2022 24,67.51
01/04/2022 01,56.14
01/04/2022 02,56.21
01/04/2022 03,63.27
01/04/2022 04,65.03
01/04/2022 05,65.11
01/04/2022 06,67.21
01/04/2022 07,81.92
01/04/2022 08,69.85
01/04/2022 09,70.49
01/04/2022 10,77.87
01/04/2022 11,84.56
01/04/2022 12,83.66
01/04/2022 13,82.74
01/04/2022 14,75.23
01/04/2022 15,86.31
01/04/2022 16,157.44
01/04/2022 17,331.45
01/04/2022 18,684.78
01/04/2022 19,701.55
01/04/2022 20,608.82
01/04/2022 21,214.87
01/04/2022 22,95.12
01/04/2022 23,76.71
01/04/2022 24,207.29
01/05/2022 01,91.31
01/05/2022 02,83.11
01/05/2022 03,76.8
01/05/2022 04,77.77
