Date (HE),CARBON INTENSITY
01/01/2022 01,20.38017633
01/01/2022 02,21.66051268
01/01/2022 03,20.95382713
01/01/2022 04,18.92909638
01/01/2022 05,18.87197877
01/01/2022 06,18.84666989
01/01/2022 07,18.79572963
01/01/2022 08,18.57097916
01/01/2022 09,18.74349983
01/01/2022 10,18.52262458
01/01/2022 11,18.92485968
01/01/2022 12,20.27134093
01/01/2022 13,21.79944992
01/01/2022 14,24.33483543
01/01/2022 15,26.05706552
01/01/2022 16,29.16827766
01/01/2022 17,29.23177198
01/01/2022 18,30.40812105
01/01/2022 19,29.98747754
01/01/2022 20,30.15556399
01/01/2022 21,29.79416621
01/01/2022 22,20.59757951
01/01/2022 23,17.98467657
01/01/2022 24,17.95664278
01/02/2022 01,17.77489125
01/02/2022 02,17.80322502
01/02/2022 03,17.79235645
01/02/2022 04,18.00146924
01/02/2022 05,19.50684595
01/02/2022 06,23.63421116
01/02/2022 07,31.19674306
01/02/2022 08,43.17780147
01/02/2022 09,47.48191994
01/02/2022 10,47.93323061
01/02/2022 11,49.1979067
01/02/2022 12,52.10244939
01/02/2022 13,58.79348898
01/02/2022 14,57.43586322
01/02/2022 15,57.72596207
01/02/2022 16,63.41495617
01/02/2022 17,66.65123772
01/02/2022 18,84.5260874
01/02/2022 19,83.6013798
01/02/2022 20,81.55891586
01/02/2022 21,78.71325687
01/02/2022 22,77.43269755
01/02/2022 23,74.27607151
01/02/2022 24,69.52682726
01/03/2022 01,65.97311564
01/03/2022 02,65.56883671
01/03/2022 03,73.31630428
01/03/2022 04,84.58048039
01/03/2022 05,83.80904885
01/03/2022 06,80.67301359
01/03/2022 07,84.67535971
01/03/2022 08,104.6221805
01/03/2022 09,103.5909704
01/03/2022 10,109.1004824
01/03/2022 11,122.1216577
01/03/2022 12,125.2675311
01/03/2022 13,117.3315984
01/03/2022 14,112.43416
01/03/2022 15,104.7618997
01/03/2022 16,106.2085226
01/03/2022 17,113.3014547
01/03/2022 18,127.5488036
01/03/2022 19,117.2159706
01/03/2022 20,95.64119793
01/03/2022 21,87.74013785
01/03/2022 22,69.02094241
01/03/2022 23,47.69357829
01/03/2022 24,31.48450111
01/04/2022 01,28.92613702
01/04/2022 02,29.36333764
01/04/2022 03,34.7620117
01/04/2022 04,44.47804765
