Date,HOEP and Global Adjustment
1/1/2022,95.03
1/1/2022,121.89
1/1/2022,81.64
1/1/2022,78.63
1/1/2022,63.26
1/1/2022,77.19
1/1/2022,68.46
1/1/2022,77.14
1/1/2022,65.05
1/1/2022,77.2
1/1/2022,85.78
1/1/2022,96.34
1/1/2022,95.63
1/1/2022,78.58
1/1/2022,77.22
1/1/2022,75.83
1/1/2022,90.41
1/1/2022,96.24
1/1/2022,89.28
1/1/2022,95.72
1/1/2022,85.72
1/1/2022,73.71
1/1/2022,75.91
1/1/2022,78.01
1/2/2022,77.3
1/2/2022,77.11
1/2/2022,73.25
1/2/2022,73.26
1/2/2022,73.23
1/2/2022,73.25
1/2/2022,67.66
1/2/2022,64.06
1/2/2022,73.3
1/2/2022,78.92
1/2/2022,93.35
1/2/2022,88.33
1/2/2022,93.5
1/2/2022,98.28
1/2/2022,99.27
1/2/2022,98.01
1/2/2022,99.36
1/2/2022,100.98
1/2/2022,100.88
1/2/2022,100.93
1/2/2022,100.87
1/2/2022,100.86
1/2/2022,99.5
1/2/2022,95.86
1/3/2022,99.48
1/3/2022,99.4
1/3/2022,97.28
1/3/2022,97.35
1/3/2022,96.35
1/3/2022,96.84
1/3/2022,98.4
1/3/2022,100.75
1/3/2022,99.87
1/3/2022,100.53
1/3/2022,101.34
1/3/2022,101.65
1/3/2022,101.31
1/3/2022,100.89
1/3/2022,97.65
1/3/2022,99.04
1/3/2022,101.21
1/3/2022,102.06
1/3/2022,100.91
1/3/2022,98.12
1/3/2022,97.61
1/3/2022,96.65
1/3/2022,95.1
1/3/2022,78.97
1/4/2022,81.87
1/4/2022,84.16
1/4/2022,76.43
1/4/2022,85.8
1/4/2022,96.22
1/4/2022,100.15
1/4/2022,101.24
1/4/2022,101.78
1/4/2022,104.84
1/4/2022,100.16
1/4/2022,99.78
1/4/2022,100.08
1/4/2022,100.02
1/4/2022,96.4
1/4/2022,96.72
1/4/2022,94.68
1/4/2022,98.75
1/4/2022,104.85
1/4/2022,98.12
